"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1353","53071920701",2937,623,1492,822,937,1068,932,14,0,54,26,37,19,263,11,72,321,15,92,19,28,1171,351,0,214,230,0,2810,29,12,38,10,38,2525,412,244,670,768,632,1009,1928,0,0,0,0,0,0,0,0,0,0
"1354","53071920702",516,112,274,130,160,194,162,26,0,0,14,2,11,5,1,0,11,5,11,0,6,0,331,0,3,13,77,495,6,2,10,0,3,447,69,40,130,129,105,200,316,0,0,0,0,0,0,0,0,0,0
"1355","53071920801",1322,471,588,263,532,554,236,4,0,38,77,28,1,450,4,0,27,5,40,0,33,0,268,17,272,51,7,1230,25,15,31,4,17,1080,242,127,280,268,176,641,681,0,0,0,0,0,0,0,0,0,0
"1356","53071920802",1272,261,695,316,311,456,505,0,0,0,0,57,9,40,0,1,3,20,9,0,23,664,278,5,158,5,0,1145,28,9,61,3,26,1123,149,116,249,292,354,562,710,0,0,0,0,0,0,0,0,0,0
"1357","53071920900",1614,316,877,421,335,523,756,131,0,1,184,137,13,12,0,2,1,12,38,0,44,28,654,9,4,14,330,1538,14,10,28,1,23,1329,285,199,366,429,304,809,805,0,0,0,0,0,0,0,0,0,0
"1358","53073000100",7566,2318,3815,1433,2062,2722,2782,268,0,4,1319,794,315,1423,402,45,114,47,171,25,626,69,420,148,1001,375,0,6759,194,117,308,10,178,6905,661,667,1642,1795,1144,4625,2941,0,0,0,0,0,0,0,0,0,0
"1359","53073000200",7898,1903,4250,1745,1606,2629,3663,109,2,2,1430,1213,247,694,504,326,67,55,587,47,348,717,628,271,450,145,56,7129,127,87,368,22,165,7356,542,611,1636,2053,1695,4626,3272,0,0,0,0,0,0,0,0,0,0
"1360","53073000300",3752,1316,1689,747,1341,1351,1060,8,0,0,316,221,50,1362,0,24,96,115,250,27,92,340,347,87,324,93,0,3339,112,39,178,6,78,3415,337,287,662,858,629,1735,2017,0,0,0,0,0,0,0,0,0,0
"1361","53073000400",8649,1490,4893,2266,1278,3274,4097,121,13,0,50,660,134,538,199,36,88,80,315,85,119,65,4555,78,412,72,1029,7749,110,70,520,23,177,8041,608,555,1728,2545,2331,3162,5487,0,0,0,0,0,0,0,0,0,0
"1362","53073000501",2883,911,1406,566,947,1126,810,2,0,0,174,209,115,661,10,5,89,39,102,9,340,32,445,73,251,193,134,2651,62,38,62,3,67,2733,150,183,628,649,512,1519,1364,0,0,0,0,0,0,0,0,0,0
"1363","53073000502",3268,549,1777,942,864,1049,1355,0,0,0,39,80,48,38,29,9,147,20,194,0,88,2197,294,6,12,67,0,3081,28,28,77,1,53,3133,135,158,534,887,1140,1053,2215,0,0,0,0,0,0,0,0,0,0
"1364","53073000600",5687,1649,2966,1072,1608,1862,2217,0,0,13,34,47,50,380,60,553,273,145,421,41,308,99,710,151,1145,177,1080,5276,105,35,142,9,120,5409,278,331,1030,1371,1306,2745,2942,0,0,0,0,0,0,0,0,0,0
"1365","53073000700",1843,580,890,373,504,740,599,4,0,59,118,236,86,474,0,48,79,65,28,0,72,27,221,47,121,158,0,1682,30,23,63,2,43,1711,132,117,405,456,285,1085,758,0,0,0,0,0,0,0,0,0,0
"1366","53073000803",2306,642,1242,422,525,795,986,13,0,0,21,410,45,337,3,34,174,24,278,223,201,42,270,21,203,7,0,2080,34,18,120,4,50,2186,120,120,466,568,510,1042,1264,0,0,0,0,0,0,0,0,0,0
"1367","53073000804",378,90,208,80,121,134,123,1,0,3,28,1,68,3,1,5,0,2,50,2,6,0,140,0,53,15,0,354,10,0,4,0,10,361,17,27,92,106,63,199,179,0,0,0,0,0,0,0,0,0,0
"1368","53073000805",314,78,163,73,108,112,94,6,0,19,42,2,5,43,0,6,2,12,62,0,17,34,34,5,7,5,13,300,4,1,3,1,5,301,13,18,69,77,72,144,170,0,0,0,0,0,0,0,0,0,0
"1369","53073000806",316,73,170,73,93,93,130,7,0,0,28,1,53,12,1,4,0,23,35,0,55,5,15,3,43,29,2,282,2,4,15,2,11,289,27,32,68,69,74,189,127,0,0,0,0,0,0,0,0,0,0
